class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
up,0.5990027189254761,0.17747443914413452,-0.4373394548892975,0.9999874830245972,0.6069667339324951,0.16106414794921875,-0.4201759696006775,0.9999568462371826,0.612775444984436,0.16156315803527832,-0.42020383477211,0.9999592304229736,0.6184988617897034,0.16210514307022095,-0.42017030715942383,0.9999578595161438,0.5933853983879089,0.16025088727474213,-0.4143393635749817,0.9999455213546753,0.5888020396232605,0.16022497415542603,-0.41437920928001404,0.999940037727356,0.5850833654403687,0.16045063734054565,-0.4144071042537689,0.9999309182167053,0.6288012862205505,0.1705644726753235,-0.2899325489997864,0.9999564290046692,0.582108736038208,0.16995806992053986,-0.2591065466403961,0.9998744130134583,0.6098248362541199,0.1978989988565445,-0.3867001533508301,0.9999913573265076,0.593182384967804,0.19633221626281738,-0.37800246477127075,0.9999818801879883,0.6746848821640015,0.2837430238723755,-0.2045956403017044,0.9999905824661255,0.5530256032943726,0.28159472346305847,-0.12481355667114258,0.999908447265625,0.6976674795150757,0.4063347280025482,-0.14838743209838867,0.998228907585144,0.5336127877235413,0.4041502773761749,-0.04260771721601486,0.8393651247024536,0.6899898052215576,0.5176356434822083,-0.2872607409954071,0.9947932958602905,0.5248066186904907,0.5061344504356384,-0.17359428107738495,0.8992376923561096,0.6888782978057861,0.5605252981185913,-0.3310393691062927,0.9875302910804749,0.5171650648117065,0.538325846195221,-0.21045389771461487,0.8557367920875549,0.6795988082885742,0.5581129789352417,-0.37564027309417725,0.9880556464195251,0.5243829488754272,0.539280891418457,-0.26199814677238464,0.8640663027763367,0.676893949508667,0.5473862886428833,-0.30642813444137573,0.9851959347724915,0.5283134579658508,0.5324037075042725,-0.19651858508586884,0.8565537333488464,0.642458975315094,0.5231286883354187,-0.03967931121587753,0.9995870590209961,0.5742975473403931,0.5192805528640747,0.039591383188962936,0.9994080066680908,0.6342990398406982,0.6963618397712708,-0.06381049752235413,0.9924575686454773,0.572235643863678,0.6919190287590027,0.03886745125055313,0.9087069034576416,0.6299817562103271,0.8616582155227661,0.18361002206802368,0.9745674729347229,0.5632801055908203,0.8582033514976501,0.2557200789451599,0.9562160968780518,0.6343194842338562,0.875842809677124,0.1963183581829071,0.7736207842826843,0.5668978095054626,0.8705459833145142,0.26755914092063904,0.9193796515464783,0.6035112142562866,0.9198291897773743,0.017353001981973648,0.9539214372634888,0.5381119847297668,0.9249749779701233,0.10368375480175018,0.9643049836158752
up,0.5715949535369873,0.14926226437091827,-0.49264270067214966,0.9999939203262329,0.5798624753952026,0.13265463709831238,-0.4685329794883728,0.9999796152114868,0.5838894844055176,0.13309790194034576,-0.46853107213974,0.9999774098396301,0.589127242565155,0.1338212937116623,-0.46851128339767456,0.9999745488166809,0.5640237331390381,0.13179275393486023,-0.4734840393066406,0.9999813437461853,0.5579913258552551,0.13199320435523987,-0.4735409617424011,0.9999812245368958,0.5529777407646179,0.13230866193771362,-0.473583459854126,0.9999809861183167,0.5948328971862793,0.14411194622516632,-0.2983637750148773,0.9999444484710693,0.5453470945358276,0.14173579216003418,-0.3238428831100464,0.9999732971191406,0.5799184441566467,0.1706126481294632,-0.42723312973976135,0.99998939037323,0.5607989430427551,0.16982518136501312,-0.4345912039279938,0.9999921321868896,0.637305736541748,0.27245739102363586,-0.15286365151405334,0.9999544024467468,0.5045788288116455,0.2658882737159729,-0.20656323432922363,0.9999769926071167,0.6535308361053467,0.414678156375885,-0.05021213740110397,0.9749892354011536,0.4801047742366791,0.403328001499176,-0.14992749691009521,0.9889551401138306,0.6635040044784546,0.5136811137199402,-0.19018509984016418,0.9636133313179016,0.4835692048072815,0.5220173001289368,-0.278367280960083,0.9704667329788208,0.6680624485015869,0.5527031421661377,-0.22819022834300995,0.9290686845779419,0.4807559847831726,0.5594261884689331,-0.32255905866622925,0.9365217089653015,0.6648530960083008,0.5522350072860718,-0.28136518597602844,0.9351662993431091,0.48646417260169983,0.5599331259727478,-0.3695194721221924,0.939965009689331,0.6608757376670837,0.5413306951522827,-0.21471166610717773,0.9234089851379395,0.48990398645401,0.550054669380188,-0.2987607419490814,0.9313844442367554,0.6089958548545837,0.5317876935005188,0.017599256709218025,0.9996569156646729,0.5338295102119446,0.5348909497261047,-0.017708487808704376,0.9997793436050415,0.6221914291381836,0.725088894367218,0.013806968927383423,0.992642343044281,0.5248399376869202,0.7265291213989258,-0.02238008752465248,0.9942094683647156,0.6404395699501038,0.9069533944129944,0.24686172604560852,0.9917024970054626,0.5026938915252686,0.9185686111450195,0.20707038044929504,0.9915993213653564,0.6318732500076294,0.923084020614624,0.25742024183273315,0.8832873106002808,0.5067426562309265,0.9296004176139832,0.21752159297466278,0.827503502368927,0.6621861457824707,0.9776652455329895,0.06281875818967819,0.9839457869529724,0.4920332431793213,0.9814004302024841,0.016847457736730576,0.983339250087738
up,0.5717565417289734,0.15145008265972137,-0.47568899393081665,0.9999929070472717,0.580026388168335,0.13388711214065552,-0.45189517736434937,0.9999765157699585,0.5839958786964417,0.1342385858297348,-0.45190566778182983,0.9999743700027466,0.5892330408096313,0.13481159508228302,-0.45189857482910156,0.9999710321426392,0.5641156435012817,0.13333867490291595,-0.4559921324253082,0.9999775290489197,0.5580615997314453,0.13366197049617767,-0.4560376703739166,0.9999774694442749,0.5531582832336426,0.13406090438365936,-0.45608800649642944,0.999977171421051,0.5950444340705872,0.1451079547405243,-0.28482240438461304,0.999940812587738,0.5457353591918945,0.14415159821510315,-0.30431219935417175,0.9999688267707825,0.5802597403526306,0.17245084047317505,-0.4114120900630951,0.999988317489624,0.5612033605575562,0.17228855192661285,-0.417107492685318,0.9999908804893494,0.6379131078720093,0.2733199894428253,-0.14778593182563782,0.999954104423523,0.5062354803085327,0.26659759879112244,-0.18875564634799957,0.9999753832817078,0.6527849435806274,0.4144190549850464,-0.048508789390325546,0.9735288619995117,0.483734130859375,0.4025731086730957,-0.13057276606559753,0.9891002178192139,0.6591085195541382,0.5145503282546997,-0.2028941661119461,0.9612383842468262,0.48845353722572327,0.5189605951309204,-0.2554805874824524,0.9705978035926819,0.6624163389205933,0.5549665093421936,-0.24612638354301453,0.9254372715950012,0.48785877227783203,0.5559293627738953,-0.2992245852947235,0.9366546273231506,0.6575548648834229,0.5537918210029602,-0.30012816190719604,0.9316208362579346,0.4931821823120117,0.5558987259864807,-0.34778282046318054,0.9400826692581177,0.6539596319198608,0.542664647102356,-0.22801589965820312,0.9191028475761414,0.49562868475914,0.546286404132843,-0.27694740891456604,0.9314223527908325,0.6100649237632751,0.5321515202522278,0.013784268870949745,0.9996355772018433,0.5350069999694824,0.535330593585968,-0.01383456401526928,0.999756395816803,0.6237561106681824,0.7233695983886719,0.00438666483387351,0.9928553104400635,0.5248441696166992,0.7238924503326416,-0.01910373941063881,0.9939703345298767,0.6402403116226196,0.9023410081863403,0.24077960848808289,0.9909929633140564,0.5058540105819702,0.9168899655342102,0.2080569565296173,0.9905619025230408,0.6341029405593872,0.9151241183280945,0.25156545639038086,0.8678273558616638,0.5094175934791565,0.9262875914573669,0.21843190491199493,0.8169956803321838,0.6558815836906433,0.9708311557769775,0.04967730864882469,0.9823269844055176,0.4985436797142029,0.9790387749671936,0.011513283476233482,0.9815581440925598
up,0.5717800259590149,0.15159854292869568,-0.4717092514038086,0.9999927878379822,0.5800907015800476,0.1340503692626953,-0.44799256324768066,0.9999760389328003,0.5840551257133484,0.134409099817276,-0.44800400733947754,0.9999738931655884,0.589309573173523,0.13498540222644806,-0.44799429178237915,0.9999706149101257,0.5641443133354187,0.13347770273685455,-0.45162534713745117,0.9999768137931824,0.558083176612854,0.1337880790233612,-0.45167088508605957,0.999976634979248,0.5532101392745972,0.13417933881282806,-0.45171838998794556,0.9999762773513794,0.5952114462852478,0.14531446993350983,-0.28263750672340393,0.999940812587738,0.5458675622940063,0.14428506791591644,-0.30032771825790405,0.9999673962593079,0.5803372859954834,0.17257681488990784,-0.4083159565925598,0.9999881982803345,0.5612519979476929,0.1724412441253662,-0.41346868872642517,0.9999906420707703,0.6382060050964355,0.2732732892036438,-0.14833687245845795,0.9999553561210632,0.5063201189041138,0.266759991645813,-0.18538597226142883,0.9999746084213257,0.6530782580375671,0.4143049120903015,-0.0530870147049427,0.9742071628570557,0.4838942587375641,0.40267083048820496,-0.12630976736545563,0.988802433013916,0.6591367721557617,0.5147716999053955,-0.20536549389362335,0.9622142314910889,0.4890868067741394,0.5187118649482727,-0.2491571456193924,0.9698094725608826,0.6625276803970337,0.5555145144462585,-0.24822092056274414,0.9271124005317688,0.48868662118911743,0.5558681488037109,-0.2920047342777252,0.9352845549583435,0.6575121879577637,0.5542680621147156,-0.30153414607048035,0.9331141114234924,0.49409937858581543,0.5557970404624939,-0.3406817615032196,0.9387850165367126,0.6538561582565308,0.5432054996490479,-0.22999492287635803,0.9206617474555969,0.49644342064857483,0.546151876449585,-0.2706752419471741,0.9300920963287354,0.6101441979408264,0.5321846604347229,0.013120710849761963,0.9996333718299866,0.5351091623306274,0.535537838935852,-0.013168272562325,0.9997518658638,0.6242160797119141,0.7233405709266663,0.0028805495239794254,0.9927603602409363,0.5249080061912537,0.7238921523094177,-0.019289039075374603,0.9938176870346069,0.6402770280838013,0.9024419188499451,0.2366296797990799,0.9906594157218933,0.5059794187545776,0.9169414043426514,0.2057918757200241,0.990190863609314,0.6341646909713745,0.9156066179275513,0.24723109602928162,0.8634977340698242,0.5095759630203247,0.9263279438018799,0.21597535908222198,0.8141456246376038,0.6556568145751953,0.9711569547653198,0.04822972044348717,0.9816860556602478,0.49862319231033325,0.9790802001953125,0.011098376475274563,0.9809069037437439
up,0.5717805624008179,0.15166519582271576,-0.47172173857688904,0.9999929070472717,0.5801214575767517,0.13414989411830902,-0.4480103850364685,0.9999764561653137,0.5840826630592346,0.13451522588729858,-0.4480173587799072,0.9999744296073914,0.5893356800079346,0.135099396109581,-0.4480046331882477,0.9999712705612183,0.5641569495201111,0.1335558295249939,-0.4516299366950989,0.9999770522117615,0.5580954551696777,0.1338561326265335,-0.45167475938796997,0.9999768137931824,0.5532518625259399,0.13423238694667816,-0.4517175555229187,0.999976396560669,0.595342218875885,0.1454867422580719,-0.28283563256263733,0.9999424815177917,0.5460366010665894,0.14431853592395782,-0.3007825016975403,0.9999673962593079,0.5803641080856323,0.1726454645395279,-0.40842294692993164,0.9999884963035583,0.5612900257110596,0.17252594232559204,-0.41365307569503784,0.9999907612800598,0.638194739818573,0.2732781171798706,-0.14871659874916077,0.9999571442604065,0.5066189169883728,0.2667559087276459,-0.18497510254383087,0.9999744892120361,0.6530909538269043,0.4144299626350403,-0.0536450520157814,0.9750732779502869,0.48410528898239136,0.4026525616645813,-0.1251850426197052,0.9887132048606873,0.6591602563858032,0.5153407454490662,-0.2044297158718109,0.9637808799743652,0.4893183708190918,0.5186803936958313,-0.24803850054740906,0.9697632193565369,0.6625890731811523,0.5566349029541016,-0.24652981758117676,0.9298038482666016,0.48880472779273987,0.5558282136917114,-0.2905724346637726,0.935221791267395,0.6574153304100037,0.5554396510124207,-0.29990121722221375,0.9355772733688354,0.4942726492881775,0.5557550191879272,-0.3389900028705597,0.9387329816818237,0.6537920236587524,0.544683039188385,-0.2291933000087738,0.9233266711235046,0.49665313959121704,0.5460892915725708,-0.26936665177345276,0.9300538301467896,0.6102179288864136,0.5321013927459717,0.012692789547145367,0.9996356964111328,0.535297691822052,0.535478413105011,-0.012746049091219902,0.9997512102127075,0.6242182850837708,0.7233487367630005,0.0018693797755986452,0.9927669763565063,0.5247586965560913,0.7237078547477722,-0.020282801240682602,0.9937620162963867,0.6402727365493774,0.9033408761024475,0.23331859707832336,0.9905205965042114,0.5060115456581116,0.9169324040412903,0.20118649303913116,0.9900338649749756,0.6341722011566162,0.9160097241401672,0.24369017779827118,0.8607123494148254,0.5096402764320374,0.926006019115448,0.21099631488323212,0.812430202960968,0.6555690765380859,0.9712190628051758,0.045870810747146606,0.9813998341560364,0.49851807951927185,0.979287326335907,0.0072859907522797585,0.9806423187255859
up,0.5718171000480652,0.15164075791835785,-0.4729182720184326,0.9999930262565613,0.5801810026168823,0.13415993750095367,-0.44918179512023926,0.9999768137931824,0.5841400623321533,0.13452769815921783,-0.4491906762123108,0.9999748468399048,0.5894057154655457,0.13512228429317474,-0.44918006658554077,0.9999717473983765,0.5642309784889221,0.13355758786201477,-0.4529956877231598,0.9999773502349854,0.5581691265106201,0.13385604321956635,-0.4530438482761383,0.9999771118164062,0.553335964679718,0.13423092663288116,-0.45308956503868103,0.999976634979248,0.5954921841621399,0.14555655419826508,-0.2833452522754669,0.9999436140060425,0.5461990833282471,0.14429405331611633,-0.3021664023399353,0.9999675750732422,0.5804049968719482,0.17265082895755768,-0.4092795252799988,0.9999886751174927,0.5613674521446228,0.17250953614711761,-0.4147499203681946,0.9999908208847046,0.6381957530975342,0.2733013331890106,-0.15009939670562744,0.9999577403068542,0.5066593885421753,0.2669415771961212,-0.1871766895055771,0.9999743103981018,0.6530975699424744,0.4146059453487396,-0.054133325815200806,0.9755493402481079,0.4841335713863373,0.402691513299942,-0.12873710691928864,0.9886465072631836,0.6591497659683228,0.5156310200691223,-0.1973266750574112,0.9646539092063904,0.489481121301651,0.5185168981552124,-0.25203239917755127,0.9696773886680603,0.6625387072563171,0.5574404001235962,-0.23705987632274628,0.9312005639076233,0.4890170097351074,0.5557008385658264,-0.2946610450744629,0.9350882172584534,0.6571201086044312,0.5563178658485413,-0.2904248833656311,0.936849057674408,0.4945961833000183,0.5555433034896851,-0.34245097637176514,0.9386047720909119,0.6535641551017761,0.5457645654678345,-0.2215079367160797,0.9246523976325989,0.4969317317008972,0.5458258986473083,-0.27308782935142517,0.9299014806747437,0.6102568507194519,0.5320796370506287,0.012642334215342999,0.9996336698532104,0.5354763269424438,0.5354582667350769,-0.012698881328105927,0.9997498989105225,0.6242254376411438,0.7226409316062927,0.003187446389347315,0.9928208589553833,0.5241502523422241,0.7233248353004456,-0.020488183945417404,0.9937952160835266,0.639940083026886,0.9032722115516663,0.22898408770561218,0.9905716180801392,0.5060553550720215,0.9167413115501404,0.19357027113437653,0.9901055097579956,0.6339292526245117,0.9161531925201416,0.23829074203968048,0.8610575795173645,0.5097132325172424,0.9259145259857178,0.20235049724578857,0.8127662539482117,0.6555379629135132,0.971416175365448,0.042020268738269806,0.9815161824226379,0.49842482805252075,0.97930908203125,0.0005865420098416507,0.9807534217834473
up,0.5718214511871338,0.15162047743797302,-0.45727330446243286,0.9999929666519165,0.5802150964736938,0.13416919112205505,-0.4334484934806824,0.9999765157699585,0.5841758251190186,0.1345420777797699,-0.4334500730037689,0.9999745488166809,0.5894442796707153,0.13514713943004608,-0.4334169030189514,0.9999714493751526,0.5642614960670471,0.13356360793113708,-0.43715596199035645,0.9999770522117615,0.5582057237625122,0.13386079668998718,-0.4371996819972992,0.9999767541885376,0.5533872246742249,0.1342334747314453,-0.4372476041316986,0.9999762177467346,0.5956257581710815,0.14565283060073853,-0.2706180214881897,0.9999426007270813,0.5463634729385376,0.1442864090204239,-0.28974464535713196,0.999966561794281,0.5804330110549927,0.17264848947525024,-0.3951881229877472,0.9999883770942688,0.5614134669303894,0.17249561846256256,-0.40071043372154236,0.9999905824661255,0.6381860971450806,0.2730850875377655,-0.1421969085931778,0.9999572038650513,0.506689190864563,0.26698678731918335,-0.17780275642871857,0.9999731183052063,0.6530850529670715,0.4146057963371277,-0.05271285027265549,0.9759235978126526,0.48410311341285706,0.4026876389980316,-0.12329866737127304,0.9884401559829712,0.6591489911079407,0.5154531002044678,-0.1955050379037857,0.9657542109489441,0.48944634199142456,0.5177920460700989,-0.2468453198671341,0.9694993495941162,0.6625810861587524,0.5574424266815186,-0.23559775948524475,0.9330841898918152,0.4889024794101715,0.5552093386650085,-0.28882965445518494,0.9348970651626587,0.6570382714271545,0.556321918964386,-0.28839340806007385,0.9385731816291809,0.4946489930152893,0.5548103451728821,-0.3356398344039917,0.9384293556213379,0.6534126400947571,0.5457664728164673,-0.21945779025554657,0.9265111088752747,0.497058242559433,0.5450807809829712,-0.2674328088760376,0.9297318458557129,0.61030513048172,0.532096266746521,0.012638305313885212,0.9996245503425598,0.5358086228370667,0.5354672074317932,-0.012696092948317528,0.9997451901435852,0.624241828918457,0.7219031453132629,0.007554213050752878,0.9928283095359802,0.5239914059638977,0.7224730253219604,-0.020855488255620003,0.9938084483146667,0.6381666660308838,0.9024527072906494,0.22036227583885193,0.9906623363494873,0.5060857534408569,0.916669487953186,0.1794605851173401,0.9901946187019348,0.632342517375946,0.915645956993103,0.22798898816108704,0.8627806901931763,0.5097272992134094,0.9262621998786926,0.18674692511558533,0.8133253455162048,0.6548620462417603,0.9719269275665283,0.03436966612935066,0.9817328453063965,0.49834856390953064,0.9795048832893372,-0.012792734429240227,0.9808788299560547
up,0.5718266367912292,0.1514790654182434,-0.45792898535728455,0.9999927878379822,0.5802804827690125,0.1341477334499359,-0.43383318185806274,0.9999760389328003,0.5842653512954712,0.13452047109603882,-0.4338323175907135,0.9999740719795227,0.5895574688911438,0.13512997329235077,-0.4338044226169586,0.9999709129333496,0.564329206943512,0.13353869318962097,-0.437814861536026,0.9999766945838928,0.5582765340805054,0.1338319629430771,-0.4378586411476135,0.9999764561653137,0.5534578561782837,0.13419319689273834,-0.4379052519798279,0.9999759197235107,0.5958664417266846,0.14564268290996552,-0.27000027894973755,0.9999412298202515,0.5466285347938538,0.14407682418823242,-0.2902192771434784,0.999966025352478,0.5804629921913147,0.1725327968597412,-0.39550238847732544,0.9999880194664001,0.5614490509033203,0.17233628034591675,-0.40134602785110474,0.9999903440475464,0.6382067203521729,0.2727799713611603,-0.13806314766407013,0.9999548196792603,0.5068652033805847,0.2669294476509094,-0.18042390048503876,0.9999723434448242,0.6530856490135193,0.41446325182914734,-0.045543890446424484,0.975247323513031,0.48412638902664185,0.4026262164115906,-0.12585319578647614,0.9882940053939819,0.6590958833694458,0.5148321390151978,-0.18066272139549255,0.9648459553718567,0.4894123673439026,0.5174226760864258,-0.24855609238147736,0.969150185585022,0.6625969409942627,0.5569683909416199,-0.21873506903648376,0.9314963221549988,0.48879700899124146,0.5549829006195068,-0.29049885272979736,0.9343233108520508,0.6570942401885986,0.5557753443717957,-0.2712055444717407,0.9370835423469543,0.49457359313964844,0.5545310974121094,-0.33866238594055176,0.9378682971000671,0.653455376625061,0.5449994802474976,-0.20463812351226807,0.9248132705688477,0.49702057242393494,0.5448095202445984,-0.26964646577835083,0.9290980696678162,0.6103066802024841,0.5316573977470398,0.012761859223246574,0.9996135234832764,0.5359657406806946,0.5351132750511169,-0.012816103175282478,0.9997400045394897,0.6243160367012024,0.7207735776901245,0.00843753945082426,0.9927741885185242,0.5237813591957092,0.7208784222602844,-0.02223137393593788,0.9937930107116699,0.6364926099777222,0.9021052122116089,0.22229139506816864,0.990634024143219,0.5062904357910156,0.9165123105049133,0.17869216203689575,0.990222692489624,0.6307388544082642,0.9155930876731873,0.2304963618516922,0.863222062587738,0.5100032091140747,0.926324725151062,0.1864866316318512,0.8132607936859131,0.6540638208389282,0.9721051454544067,0.03711392730474472,0.9817289710044861,0.4982956051826477,0.9795793890953064,-0.013685095123946667,0.9808854460716248
up,0.5718933343887329,0.15146216750144958,-0.4576309323310852,0.9999926090240479,0.5803520083427429,0.13414789736270905,-0.4339595437049866,0.9999755024909973,0.5843766927719116,0.1345205307006836,-0.4339567720890045,0.999973475933075,0.5897103548049927,0.13513138890266418,-0.43392977118492126,0.9999701976776123,0.5644423365592957,0.13353754580020905,-0.43792980909347534,0.9999763369560242,0.5584085583686829,0.13382849097251892,-0.4379712641239166,0.9999760985374451,0.5535944700241089,0.1341879963874817,-0.43801823258399963,0.9999756217002869,0.5960929989814758,0.14564338326454163,-0.2707042992115021,0.9999396800994873,0.5469813942909241,0.1440073847770691,-0.2909124791622162,0.9999656081199646,0.5805779695510864,0.17252710461616516,-0.3952542543411255,0.9999876618385315,0.5616035461425781,0.17230530083179474,-0.4010705351829529,0.9999901652336121,0.6387118101119995,0.2726822793483734,-0.13713452219963074,0.9999530911445618,0.5070425271987915,0.266929030418396,-0.18180620670318604,0.9999721050262451,0.6533066034317017,0.41437333822250366,-0.044046275317668915,0.9746106863021851,0.4842371344566345,0.4025295674800873,-0.12749680876731873,0.9882490634918213,0.659106433391571,0.5139485001564026,-0.18068847060203552,0.9641937613487244,0.48936548829078674,0.5169298648834229,-0.2499641478061676,0.969167947769165,0.6626057624816895,0.5559695363044739,-0.219546839594841,0.9304680824279785,0.4886510968208313,0.5543885827064514,-0.2920991778373718,0.9345191121101379,0.6571380496025085,0.5546807050704956,-0.27187514305114746,0.9360915422439575,0.49453386664390564,0.553981602191925,-0.34052416682243347,0.9380292296409607,0.6534908413887024,0.5435720682144165,-0.20470719039440155,0.9236883521080017,0.4970023036003113,0.5442957282066345,-0.2712216079235077,0.9292614459991455,0.6103408336639404,0.5316587090492249,0.013104967772960663,0.9996069073677063,0.5361419916152954,0.535111129283905,-0.013154188171029091,0.9997380971908569,0.6245812177658081,0.7205945253372192,0.008611751720309258,0.9927806854248047,0.5238169431686401,0.7205453515052795,-0.022996822372078896,0.9938320517539978,0.635438084602356,0.9021314978599548,0.22326335310935974,0.9906352162361145,0.5065001249313354,0.9165137410163879,0.18042396008968353,0.9902701377868652,0.6293947696685791,0.915632963180542,0.23178264498710632,0.8648203015327454,0.5103973150253296,0.9265199899673462,0.18865975737571716,0.8140334486961365,0.6539710164070129,0.9732396602630615,0.03922271728515625,0.981741726398468,0.49826040863990784,0.9796803593635559,-0.010917721316218376,0.9809051156044006
up,0.5722740888595581,0.1511378437280655,-0.45103248953819275,0.9999926686286926,0.5806746482849121,0.13405337929725647,-0.4267440736293793,0.9999756813049316,0.5847979187965393,0.1344211846590042,-0.42674484848976135,0.9999735951423645,0.5901938676834106,0.1350475251674652,-0.4267190098762512,0.9999703168869019,0.5649059414863586,0.1334087997674942,-0.43107715249061584,0.9999766945838928,0.5588902235031128,0.13366484642028809,-0.4311146140098572,0.999976396560669,0.5539687871932983,0.13400579988956451,-0.4311579763889313,0.9999760389328003,0.5963934659957886,0.14552317559719086,-0.2630731165409088,0.9999397397041321,0.5474823713302612,0.14331915974617004,-0.285233736038208,0.9999662041664124,0.5808321833610535,0.17225919663906097,-0.3887726664543152,0.9999876022338867,0.5620486736297607,0.17193514108657837,-0.3951221704483032,0.9999902248382568,0.6389913558959961,0.27268123626708984,-0.13011817634105682,0.9999516606330872,0.5072367787361145,0.26681873202323914,-0.17959973216056824,0.9999723434448242,0.6533077955245972,0.414133757352829,-0.0373014435172081,0.9738500714302063,0.48449596762657166,0.40242376923561096,-0.12827429175376892,0.9882091283798218,0.6592873334884644,0.5132358074188232,-0.17522187530994415,0.9635285139083862,0.4893829822540283,0.5163792371749878,-0.2515260577201843,0.969323456287384,0.6626619100570679,0.5551980137825012,-0.2140374630689621,0.9295033812522888,0.4885895848274231,0.5538541674613953,-0.2936367392539978,0.9349659085273743,0.6572663187980652,0.5536969900131226,-0.26694798469543457,0.9351568818092346,0.4944721758365631,0.5533589720726013,-0.3418356776237488,0.9384217262268066,0.6536242365837097,0.5422751903533936,-0.19962631165981293,0.9226903319358826,0.49695953726768494,0.5435400009155273,-0.2726505398750305,0.9296789765357971,0.6103570461273193,0.5316622853279114,0.013835827820003033,0.9996055364608765,0.536354124546051,0.535095751285553,-0.013876890763640404,0.999740481376648,0.6245808005332947,0.7207604646682739,0.012399280443787575,0.9927396178245544,0.5238164663314819,0.7215333580970764,-0.023687295615673065,0.9939035177230835,0.6346145868301392,0.902816116809845,0.22480592131614685,0.9906119704246521,0.5065045952796936,0.9182618856430054,0.17854724824428558,0.990411639213562,0.627464771270752,0.9170399308204651,0.2334560602903366,0.8664858937263489,0.5103977918624878,0.9295496344566345,0.18660953640937805,0.8157368302345276,0.6540178656578064,0.9736068844795227,0.03992222994565964,0.9817882776260376,0.49822425842285156,0.9802514314651489,-0.011505677364766598,0.9811047911643982
